x_raw,x_float,y_hw_raw,y_hw_float,y_ref,err
1142784,0.136230,29437817,-0.490739,-0.490739,1.643607e-07
1146880,0.136719,29444957,-0.489888,-0.489887,1.295041e-07
1150976,0.137207,29452100,-0.489036,-0.489036,2.042127e-07
1155072,0.137695,29459248,-0.488184,-0.488184,1.492557e-07
1159168,0.138184,29466399,-0.487332,-0.487331,2.022392e-07
1163264,0.138672,29473555,-0.486478,-0.486478,1.239316e-07
1167360,0.139160,29480714,-0.485625,-0.485625,1.519380e-07
1171456,0.139648,29487877,-0.484771,-0.484771,1.662352e-07
1175552,0.140137,29495045,-0.483917,-0.483917,4.679944e-08
1179648,0.140625,29502216,-0.483062,-0.483062,3.123464e-08
1183744,0.141113,29509391,-0.482206,-0.482206,4.837528e-10
1187840,0.141602,29516570,-0.481351,-0.481351,4.917142e-08
1191936,0.142090,29523753,-0.480494,-0.480494,1.156445e-07
1196032,0.142578,29530940,-0.479638,-0.479638,2.007195e-07
1200128,0.143066,29538130,-0.478781,-0.478781,1.860041e-07
1204224,0.143555,29545324,-0.477923,-0.477923,1.915251e-07
1208320,0.144043,29552522,-0.477065,-0.477065,2.181002e-07
1212416,0.144531,29559724,-0.476206,-0.476207,2.665479e-07
1216512,0.145020,29566929,-0.475347,-0.475348,2.184775e-07
1220608,0.145508,29574138,-0.474488,-0.474488,1.939175e-07
1224704,0.145996,29581351,-0.473628,-0.473628,1.936874e-07
1228800,0.146484,29588568,-0.472768,-0.472768,2.186073e-07
1232896,0.146973,29595788,-0.471907,-0.471907,1.502884e-07
1236992,0.147461,29603012,-0.471046,-0.471046,1.087609e-07
1241088,0.147949,29610240,-0.470184,-0.470184,9.484595e-08
1245184,0.148438,29617472,-0.469322,-0.469322,1.093654e-07
1249280,0.148926,29624707,-0.468460,-0.468460,3.393214e-08
1253376,0.149414,29631946,-0.467597,-0.467597,1.142197e-08
1257472,0.149902,29639189,-0.466733,-0.466733,2.587391e-08
1261568,0.150391,29646436,-0.465869,-0.465869,8.600233e-09
1265664,0.150879,29653686,-0.465005,-0.465005,7.798635e-08
1269760,0.151367,29660940,-0.464140,-0.464140,1.139987e-07
1273856,0.151855,29668198,-0.463275,-0.463275,1.158125e-07
1277952,0.152344,29675460,-0.462409,-0.462409,8.260265e-08
1282048,0.152832,29682725,-0.461543,-0.461543,1.327529e-07
1286144,0.153320,29689994,-0.460677,-0.460677,1.462279e-07
1290240,0.153809,29697267,-0.459810,-0.459810,1.222014e-07
1294336,0.154297,29704544,-0.458942,-0.458942,5.984642e-08
1298432,0.154785,29711824,-0.458075,-0.458074,7.754509e-08
1302528,0.155273,29719108,-0.457206,-0.457206,5.526044e-08
1306624,0.155762,29726396,-0.456337,-0.456337,7.835598e-09
1310720,0.156250,29733688,-0.455468,-0.455468,1.125715e-07
1314816,0.156738,29740983,-0.454599,-0.454599,1.405669e-07
1318912,0.157227,29748282,-0.453728,-0.453729,2.118604e-07
1323008,0.157715,29755584,-0.452858,-0.452858,2.080725e-07
1327104,0.158203,29762890,-0.451987,-0.451987,2.492425e-07
1331200,0.158691,29770200,-0.451116,-0.451116,3.362011e-07
1335296,0.159180,29777513,-0.450244,-0.450244,3.505699e-07
1339392,0.159668,29784829,-0.449372,-0.449372,2.931802e-07
1343488,0.160156,29792149,-0.448499,-0.448499,2.840733e-07
1347584,0.160645,29799472,-0.447626,-0.447626,2.048719e-07
1351680,0.161133,29806800,-0.446753,-0.446753,2.948273e-07
1355776,0.161621,29814130,-0.445879,-0.445879,1.971445e-07
1359872,0.162109,29821464,-0.445004,-0.445005,1.510757e-07
1363968,0.162598,29828802,-0.444130,-0.444130,1.574546e-07
1368064,0.163086,29836143,-0.443255,-0.443255,9.790613e-08
1372160,0.163574,29843488,-0.442379,-0.442379,9.247426e-08
1376256,0.164062,29850836,-0.441503,-0.441503,2.278472e-08
1380352,0.164551,29858188,-0.440627,-0.440627,8.882223e-09
1384448,0.165039,29865543,-0.439750,-0.439750,6.760667e-08
1388544,0.165527,29872902,-0.438873,-0.438872,8.663643e-08
1392640,0.166016,29880264,-0.437995,-0.437995,1.665797e-07
1396736,0.166504,29887630,-0.437117,-0.437117,1.873902e-07
1400832,0.166992,29895000,-0.436238,-0.436238,1.482304e-07
1404928,0.167480,29902372,-0.435359,-0.435359,2.866811e-07
1409024,0.167969,29909749,-0.434480,-0.434480,2.442762e-07
1413120,0.168457,29917129,-0.433600,-0.433600,2.585957e-07
1417216,0.168945,29924513,-0.432720,-0.432720,2.095912e-07
1421312,0.169434,29931900,-0.431839,-0.431839,2.156326e-07
1425408,0.169922,29939290,-0.430959,-0.430958,2.758802e-07
1429504,0.170410,29946684,-0.430077,-0.430077,2.702843e-07
1433600,0.170898,29954082,-0.429195,-0.429195,1.980044e-07
1437696,0.171387,29961483,-0.428313,-0.428313,1.774089e-07
1441792,0.171875,29968888,-0.427430,-0.427430,8.844700e-08
1445888,0.172363,29976296,-0.426547,-0.426547,4.948629e-08
1449984,0.172852,29983708,-0.425663,-0.425664,5.952470e-08
1454080,0.173340,29991123,-0.424780,-0.424780,1.202192e-07
1458176,0.173828,29998542,-0.423895,-0.423895,2.526495e-07
1462272,0.174316,30005963,-0.423010,-0.423011,2.192402e-07
1466368,0.174805,30013388,-0.422125,-0.422126,2.592537e-07
1470464,0.175293,30020816,-0.421240,-0.421240,2.543248e-07
1474560,0.175781,30028248,-0.420354,-0.420354,3.245072e-07
1478656,0.176270,30035683,-0.419468,-0.419468,3.514364e-07
1482752,0.176758,30043121,-0.418581,-0.418581,3.359578e-07
1486848,0.177246,30050563,-0.417694,-0.417694,3.981262e-07
1490944,0.177734,30058008,-0.416806,-0.416807,4.195783e-07
1495040,0.178223,30065456,-0.415918,-0.415919,4.011606e-07
1499136,0.178711,30072907,-0.415030,-0.415030,3.437197e-07
1503232,0.179199,30080362,-0.414141,-0.414142,3.673121e-07
1507328,0.179688,30087820,-0.413252,-0.413253,3.535761e-07
1511424,0.180176,30095281,-0.412363,-0.412363,3.033594e-07
1515520,0.180664,30102746,-0.411473,-0.411473,3.367197e-07
1519616,0.181152,30110214,-0.410583,-0.410583,3.352963e-07
1523712,0.181641,30117686,-0.409692,-0.409692,4.191475e-07
1527808,0.182129,30125160,-0.408801,-0.408801,3.507042e-07
1531904,0.182617,30132638,-0.407910,-0.407910,3.692346e-07
1536000,0.183105,30140119,-0.407018,-0.407018,3.563796e-07
1540096,0.183594,30147604,-0.406126,-0.406126,4.321991e-07
1544192,0.184082,30155092,-0.405233,-0.405233,4.783345e-07
1548288,0.184570,30162583,-0.404340,-0.404340,4.956371e-07
1552384,0.185059,30170078,-0.403446,-0.403447,6.041679e-07
1556480,0.185547,30177576,-0.402553,-0.402553,6.855695e-07
1560576,0.186035,30185077,-0.401658,-0.401659,7.406943e-07
1564672,0.186523,30192581,-0.400764,-0.400765,7.703949e-07
1568768,0.187012,30200089,-0.399869,-0.399870,8.947338e-07
1572864,0.187500,30207592,-0.398974,-0.398974,4.168074e-08
1576960,0.187988,30215106,-0.398079,-0.398079,1.194382e-07
1581056,0.188477,30222623,-0.397183,-0.397183,1.751861e-07
1585152,0.188965,30230143,-0.396286,-0.396286,2.097788e-07
1589248,0.189453,30237667,-0.395389,-0.395390,3.432807e-07
1593344,0.189941,30245193,-0.394492,-0.394492,3.381283e-07
1597440,0.190430,30252722,-0.393595,-0.393595,3.143865e-07
1601536,0.190918,30260255,-0.392696,-0.392697,3.921207e-07
1605632,0.191406,30267790,-0.391798,-0.391799,3.337685e-07
1609728,0.191895,30275329,-0.390900,-0.390900,3.786053e-07
1613824,0.192383,30282871,-0.390000,-0.390001,4.082788e-07
1617920,0.192871,30290416,-0.389101,-0.389101,4.236463e-07
1622016,0.193359,30297964,-0.388201,-0.388202,4.255657e-07
1626112,0.193848,30305515,-0.387301,-0.387302,4.148950e-07
1630208,0.194336,30313069,-0.386401,-0.386401,3.924928e-07
1634304,0.194824,30320626,-0.385500,-0.385500,3.592177e-07
1638400,0.195312,30328186,-0.384598,-0.384599,3.159290e-07
1642496,0.195801,30335749,-0.383697,-0.383697,2.634863e-07
1646592,0.196289,30343316,-0.382795,-0.382795,3.219585e-07
1650688,0.196777,30350885,-0.381893,-0.381893,2.537874e-07
1654784,0.197266,30358458,-0.380990,-0.380990,2.982522e-07
1658880,0.197754,30366033,-0.380087,-0.380087,2.177951e-07
1662976,0.198242,30373612,-0.379183,-0.379184,2.516960e-07
1667072,0.198730,30381194,-0.378279,-0.378280,2.816071e-07
1671168,0.199219,30388778,-0.377375,-0.377376,1.891813e-07
1675264,0.199707,30396366,-0.376471,-0.376471,2.136992e-07
1679360,0.200195,30403957,-0.375566,-0.375566,2.368143e-07
1683456,0.200684,30411551,-0.374661,-0.374661,2.593895e-07
1687552,0.201172,30419149,-0.373755,-0.373755,4.014974e-07
1691648,0.201660,30426749,-0.372849,-0.372849,4.255832e-07
1695744,0.202148,30434352,-0.371943,-0.371943,4.517201e-07
1699840,0.202637,30441958,-0.371036,-0.371036,4.807724e-07
1703936,0.203125,30449560,-0.370130,-0.370129,3.208602e-07
1708032,0.203613,30457172,-0.369222,-0.369222,2.833827e-07
1712128,0.204102,30464788,-0.368314,-0.368314,1.211854e-07
1716224,0.204590,30472406,-0.367406,-0.367406,7.182121e-08
1720320,0.205078,30480027,-0.366498,-0.366498,1.521487e-08
1724416,0.205566,30487650,-0.365589,-0.365589,6.970928e-08
1728512,0.206055,30495277,-0.364680,-0.364680,3.980806e-09
1732608,0.206543,30502907,-0.363770,-0.363770,8.751313e-08
1736704,0.207031,30510539,-0.362860,-0.362860,6.254575e-08
1740800,0.207520,30518174,-0.361950,-0.361950,4.915563e-08
1744896,0.208008,30525812,-0.361040,-0.361040,4.821080e-08
1748992,0.208496,30533453,-0.360129,-0.360129,6.057958e-08
1753088,0.208984,30541097,-0.359218,-0.359218,8.713066e-08
1757184,0.209473,30548743,-0.358306,-0.358306,9.523724e-09
1761280,0.209961,30556393,-0.357394,-0.357394,6.704669e-08
1765376,0.210449,30564045,-0.356482,-0.356482,2.215063e-08
1769472,0.210938,30571700,-0.355569,-0.355569,5.085202e-09
1773568,0.211426,30579358,-0.354656,-0.354656,1.379050e-08
1777664,0.211914,30587019,-0.353743,-0.353743,3.094646e-09
1781760,0.212402,30594682,-0.352830,-0.352830,9.133598e-08
1785856,0.212891,30602349,-0.351916,-0.351916,3.922466e-08
1789952,0.213379,30610018,-0.351002,-0.351001,8.430768e-08
1794048,0.213867,30617690,-0.350087,-0.350087,1.065038e-07
1798144,0.214355,30625365,-0.349172,-0.349172,1.049409e-07
1802240,0.214844,30633043,-0.348257,-0.348257,7.874637e-08
1806336,0.215332,30640724,-0.347341,-0.347341,2.704732e-08
1810432,0.215820,30648407,-0.346425,-0.346425,6.817989e-08
1814528,0.216309,30656094,-0.345509,-0.345509,3.714800e-08
1818624,0.216797,30663783,-0.344592,-0.344592,5.139158e-08
1822720,0.217285,30671475,-0.343675,-0.343675,9.463425e-08
1826816,0.217773,30679170,-0.342758,-0.342758,1.677505e-07
1830912,0.218262,30686867,-0.341840,-0.341841,1.524057e-07
1835008,0.218750,30694568,-0.340922,-0.340923,2.878935e-07
1839104,0.219238,30702271,-0.340004,-0.340004,3.366708e-07
1843200,0.219727,30709977,-0.339085,-0.339086,4.188225e-07
1847296,0.220215,30717686,-0.338166,-0.338167,5.352247e-07
1851392,0.220703,30725397,-0.337247,-0.337248,5.675442e-07
1855488,0.221191,30733111,-0.336328,-0.336328,6.358670e-07
1859584,0.221680,30740827,-0.335408,-0.335408,6.218608e-07
1863680,0.222168,30748546,-0.334488,-0.334488,6.456120e-07
1867776,0.222656,30756268,-0.333567,-0.333568,7.079982e-07
1871872,0.223145,30763992,-0.332646,-0.332647,6.906878e-07
1875968,0.223633,30771718,-0.331725,-0.331726,5.945592e-07
1880064,0.224121,30779448,-0.330804,-0.330805,6.589092e-07
1884160,0.224609,30787180,-0.329882,-0.329883,6.461980e-07
1888256,0.225098,30794914,-0.328960,-0.328961,5.573047e-07
1892352,0.225586,30802652,-0.328038,-0.328038,6.315271e-07
1896448,0.226074,30810392,-0.327115,-0.327116,6.313264e-07
1900544,0.226562,30818134,-0.326192,-0.326193,5.575825e-07
1904640,0.227051,30825879,-0.325269,-0.325269,5.303849e-07
1908736,0.227539,30833627,-0.324345,-0.324346,5.506140e-07
1912832,0.228027,30841377,-0.323421,-0.323422,4.999416e-07
1916928,0.228516,30849130,-0.322497,-0.322498,4.984579e-07
1921024,0.229004,30856885,-0.321573,-0.321573,4.278351e-07
1925120,0.229492,30864643,-0.320648,-0.320648,4.081642e-07
1929216,0.229980,30872404,-0.319723,-0.319723,4.403273e-07
1933312,0.230469,30880168,-0.318797,-0.318798,5.252065e-07
1937408,0.230957,30887933,-0.317871,-0.317872,4.252659e-07
1941504,0.231445,30895702,-0.316945,-0.316946,4.990162e-07
1945600,0.231934,30903473,-0.316019,-0.316019,5.089220e-07
1949696,0.232422,30911247,-0.315092,-0.315093,5.750762e-07
1953792,0.232910,30919023,-0.314165,-0.314166,5.791530e-07
1957888,0.233398,30926802,-0.313238,-0.313239,6.412459e-07
1961984,0.233887,30934584,-0.312310,-0.312311,7.622390e-07
1966080,0.234375,30942360,-0.311383,-0.311383,1.298664e-07
1970176,0.234863,30950147,-0.310455,-0.310455,7.627798e-09
1974272,0.235352,30957936,-0.309526,-0.309527,5.695653e-08
1978368,0.235840,30965727,-0.308598,-0.308598,6.477198e-08
1982464,0.236328,30973521,-0.307669,-0.307669,1.359136e-07
1986560,0.236816,30981317,-0.306739,-0.306739,1.520580e-07
1990656,0.237305,30989116,-0.305809,-0.305810,2.333009e-07
1994752,0.237793,30996917,-0.304880,-0.304880,2.613196e-07
1998848,0.238281,31004720,-0.303949,-0.303950,2.370007e-07
2002944,0.238770,31012526,-0.303019,-0.303019,2.804409e-07
2007040,0.239258,31020334,-0.302088,-0.302088,2.733181e-07
2011136,0.239746,31028144,-0.301157,-0.301157,2.165201e-07
2015232,0.240234,31035957,-0.300226,-0.300226,2.301441e-07
2019328,0.240723,31043772,-0.299294,-0.299294,1.958690e-07
2023424,0.241211,31051590,-0.298362,-0.298362,2.337926e-07
2027520,0.241699,31059410,-0.297430,-0.297430,2.255944e-07
